EVENT,BOUT,DATE,OUTCOME,WEIGHTCLASS,METHOD,fighter1,fighter2,fighter1_win,f2_distance_landed_avg,f2_sig_str_landed_avg,f2_recent_avg_distance_landed,f1_sig_str_landed_peak,f1_recent_avg_sig_str_landed,f2_distance_landed_peak,f1_distance_landed_peak,f2_age_at_fight_valley,f2_recent_avg_sig_str_landed,f2_body_landed_peak,f1_distance_landed_avg,f2_sig_str_landed_dec_avg,f1_recent_avg_head_landed,f1_body_landed_avg,f1_sig_str_landed_avg,f1_age_at_fight_valley,f2_head_landed_avg,f1_head_landed_peak,f1_recent_avg_sig_str_per_min,f1_age_at_fight_peak,f2_sig_str_landed_peak,f1_recent_avg_distance_landed,f1_age_at_fight,f1_sig_str_per_min_peak,f2_body_landed_avg,f2_recent_avg_head_landed,f1_recent_avg_body_landed,ratio_HEIGHT,f1_distance_att,ratio_REACH
UFC 4: Revenge of the Warriors,Guy Mezger vs. Jason Fairn,1994-12-16,W/L,Open Weight Bout,KO/TKO ,Guy Mezger,Jason Fairn,1.0,1.0,9.0,1.0,19.0,19.0,1.0,0.0,,9.0,2.0,0.0,,17.0,1.0,19.0,26.95687885010267,5.0,17.0,8.571428571428571,26.95687885010267,9.0,0.0,26.95687885010267,8.571428571428571,2.0,5.0,1.0,,1,
UFC 4: Revenge of the Warriors,Keith Hackney vs. Joe Son,1994-12-16,W/L,Open Weight Bout,Submission ,Joe Son,Keith Hackney,1.0,4.0,21.0,4.0,0.0,0.0,6.0,0.0,,21.0,0.0,0.0,34.0,0.0,0.0,0.0,,15.0,0.0,0.0,,34.0,0.0,,0.0,0.0,15.0,0.0,,0,
UFC 4: Revenge of the Warriors,Royce Gracie vs. Dan Severn,1994-12-16,W/L,UFC 4 Tournament Title Bout,Submission ,Dan Severn,Royce Gracie,1.0,0.3333333333333333,1.3333333333333333,0.0,4.0,1.3333333333333333,2.0,0.0,,0.6666666666666666,0.0,0.0,1.619694153183881,1.3333333333333333,0.0,1.3333333333333333,36.52292950034223,0.6666666666666666,4.0,0.08429926238145417,36.52292950034223,4.0,0.0,36.52292950034223,0.2528977871443625,0.0,0.3333333333333333,0.0,,0,
UFC 4: Revenge of the Warriors,Royce Gracie vs. Keith Hackney,1994-12-16,W/L,Open Weight Bout,Submission ,Keith Hackney,Royce Gracie,1.0,0.5714285714285714,2.7142857142857144,0.6666666666666666,34.0,15.333333333333334,2.0,6.0,,4.333333333333333,3.0,3.0,1.2743589705681173,11.0,0.3333333333333333,15.333333333333334,,1.5714285714285714,29.0,6.9308593258049624,,11.0,3.0,,17.142857142857142,0.42857142857142855,2.6666666666666665,0.3333333333333333,,3,
UFC 4: Revenge of the Warriors,Royce Gracie vs. Ron van Clief,1994-12-16,W/L,Open Weight Bout,Submission ,Ron van Clief,Royce Gracie,1.0,0.5,3.25,0.6666666666666666,0.0,0.0,2.0,0.0,,6.0,3.0,0.0,2.983547713843281,0.0,0.0,0.0,,2.0,0.0,0.0,,11.0,0.0,,0.0,0.625,4.0,0.0,,0,
UFC 4: Revenge of the Warriors,Steve Jennum vs. Melton Bowen,1994-12-16,W/L,Open Weight Bout,Submission ,Melton Bowen,Steve Jennum,1.0,0.5,9.5,0.5,1.0,1.0,1.0,0.0,,9.5,0.0,0.0,5.999999999999999,1.0,0.0,1.0,,9.5,1.0,0.20905923344947736,,13.0,0.0,,0.20905923344947736,0.0,9.5,0.0,,3,
UFC 5: The Return of the Beast,Dan Severn vs. Dave Beneteau,1995-04-07,W/L,UFC 5 Tournament Title Bout,Submission ,Dan Severn,Dave Beneteau,1.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,,2.0,0.0,0.0,,1.6666666666666667,0.0,1.5,36.52292950034223,2.0,4.0,0.3052937375195757,36.82956878850103,2.0,0.0,36.82956878850103,0.6629834254143646,0.0,2.0,0.0,,0,
UFC 5: The Return of the Beast,Dan Severn vs. Joe Charles,1995-04-07,W/L,Open Weight Bout,Submission ,Dan Severn,Joe Charles,1.0,1.0,1.0,1.0,4.0,2.6666666666666665,1.0,0.0,,1.0,1.0,0.0,,2.3333333333333335,0.0,1.6,36.52292950034223,0.0,4.0,0.7134570028256982,36.82956878850103,1.0,0.0,36.82956878850103,1.2244897959183674,1.0,0.0,0.0,1.0136986301369864,0,1.010498687664042
UFC 5: The Return of the Beast,Dan Severn vs. Oleg Taktarov,1995-04-07,W/L,Open Weight Bout,TKO - Doctor's Stoppage ,Dan Severn,Oleg Taktarov,1.0,0.0,0.0,0.0,9.0,4.333333333333333,0.0,0.0,,0.0,0.0,0.0,,4.0,0.0,2.8333333333333335,36.52292950034223,0.0,9.0,1.3188129128580373,36.82956878850103,0.0,0.0,36.82956878850103,2.0689655172413794,0.0,0.0,0.0,,0,
UFC 5: The Return of the Beast,Dave Beneteau vs. Asbel Cancio,1995-04-07,W/L,Open Weight Bout,KO/TKO ,Asbel Cancio,Dave Beneteau,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,2.0,0.0,0.0,0.0,,7.0,0.0,0.0,,12.0,0.0,,0.0,0.0,7.0,0.0,,0,
UFC 5: The Return of the Beast,Dave Beneteau vs. Todd Medina,1995-04-07,W/L,Open Weight Bout,KO/TKO ,Dave Beneteau,Todd Medina,1.0,0.0,0.0,0.0,12.0,7.333333333333333,0.0,0.0,,0.0,0.0,0.0,,7.333333333333333,0.0,7.333333333333333,,0.0,12.0,12.861687115830762,,0.0,0.0,,34.285714285714285,0.0,0.0,0.0,,0,
UFC 5: The Return of the Beast,Guy Mezger vs. John Dowdy,1995-04-07,W/L,Open Weight Bout,KO/TKO ,Guy Mezger,John Dowdy,1.0,0.0,0.0,0.0,19.0,15.5,0.0,2.0,,0.0,0.0,1.0,,13.5,1.0,15.5,26.95687885010267,0.0,17.0,7.236533957845433,27.263518138261464,0.0,1.0,27.263518138261464,8.571428571428571,0.0,0.0,1.0,,5,
UFC 5: The Return of the Beast,Jon Hess vs. Andy Anderson,1995-04-07,W/L,Open Weight Bout,KO/TKO ,Andy Anderson,Jon Hess,1.0,6.0,17.0,6.0,2.0,2.0,6.0,0.0,,17.0,10.0,0.0,,2.0,0.0,2.0,,7.0,2.0,1.4457831325301205,,17.0,0.0,,1.4457831325301205,10.0,7.0,0.0,,0,
UFC 5: The Return of the Beast,Ken Shamrock vs. Royce Gracie,1995-04-07,,,,Ken Shamrock,Royce Gracie,,0.5555555555555556,3.2222222222222223,1.0,10.0,7.333333333333333,2.0,1.0,,7.0,3.0,0.3333333333333333,3.583895525910071,3.6666666666666665,1.6666666666666667,7.333333333333333,30.576317590691307,2.0,5.0,0.8456040209127877,31.15126625598905,11.0,0.3333333333333333,31.15126625598905,1.6608996539792389,0.5555555555555556,4.666666666666667,1.6666666666666667,,3,
UFC 5: The Return of the Beast,Oleg Taktarov vs. Ernie Verdicia,1995-04-07,W/L,Open Weight Bout,Submission ,Ernie Verdicia,Oleg Taktarov,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.8391608391608392,,0.0,0.0,,0.8391608391608392,0.0,0.0,0.0,,2,
UFC 5: The Return of the Beast,Todd Medina vs. Larry Cureton,1995-04-07,W/L,Open Weight Bout,Submission ,Larry Cureton,Todd Medina,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,,2.0,1.0,0.0,0.0,0.0,1.0,1.0,,1.5,0.0,0.34285714285714286,,4.0,0.0,,0.34285714285714286,0.5,1.5,1.0,,1,
UFC 6: Clash of the Titans,David Abbott vs. John Matua,1995-07-14,W/L,Open Weight Bout,KO/TKO ,David Abbott,John Matua,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,,0.0,0.0,0.0,,7.0,0.0,7.0,30.21492128678987,0.0,7.0,21.0,30.21492128678987,0.0,0.0,30.21492128678987,21.0,0.0,0.0,0.0,,1,
