feature,timing
recent_avg_odds,postcomp
avg_sub_acc,precomp
recent_avg_sub_acc,precomp
avg_takedowns_acc,precomp
recent_avg_takedowns_acc,precomp
avg_sig_strikes_acc,precomp
recent_avg_sig_strikes_acc,precomp
avg_total_strikes_acc,precomp
recent_avg_total_strikes_acc,precomp
avg_head_strikes_acc,precomp
recent_avg_head_strikes_acc,precomp
avg_body_strikes_acc,precomp
recent_avg_body_strikes_acc,precomp
avg_leg_strikes_acc,precomp
recent_avg_leg_strikes_acc,precomp
avg_distance_strikes_acc,precomp
recent_avg_distance_strikes_acc,precomp
avg_clinch_strikes_acc,precomp
recent_avg_clinch_strikes_acc,precomp
avg_ground_strikes_acc,precomp
recent_avg_ground_strikes_acc,precomp
avg_sub_def,precomp
recent_avg_sub_def,precomp
avg_takedowns_def,precomp
recent_avg_takedowns_def,precomp
avg_sig_strikes_def,precomp
recent_avg_sig_strikes_def,precomp
avg_total_strikes_def,precomp
recent_avg_total_strikes_def,precomp
avg_head_strikes_def,precomp
recent_avg_head_strikes_def,precomp
avg_body_strikes_def,precomp
recent_avg_body_strikes_def,precomp
avg_leg_strikes_def,precomp
recent_avg_leg_strikes_def,precomp
avg_distance_strikes_def,precomp
recent_avg_distance_strikes_def,precomp
avg_clinch_strikes_def,precomp
recent_avg_clinch_strikes_def,precomp
avg_ground_strikes_def,precomp
recent_avg_ground_strikes_def,precomp
avg_sub_attempts_per_min,precomp
recent_avg_sub_attempts_per_min,precomp
avg_sub_landed_per_min,precomp
recent_avg_sub_landed_per_min,precomp
avg_takedowns_landed_per_min,precomp
recent_avg_takedowns_landed_per_min,precomp
avg_takedowns_attempts_per_min,precomp
recent_avg_takedowns_attempts_per_min,precomp
avg_sig_strikes_landed_per_min,precomp
recent_avg_sig_strikes_landed_per_min,precomp
avg_sig_strikes_attempts_per_min,precomp
recent_avg_sig_strikes_attempts_per_min,precomp
avg_total_strikes_landed_per_min,precomp
recent_avg_total_strikes_landed_per_min,precomp
avg_total_strikes_attempts_per_min,precomp
recent_avg_total_strikes_attempts_per_min,precomp
avg_head_strikes_landed_per_min,precomp
recent_avg_head_strikes_landed_per_min,precomp
avg_head_strikes_attempts_per_min,precomp
recent_avg_head_strikes_attempts_per_min,precomp
avg_body_strikes_landed_per_min,precomp
recent_avg_body_strikes_landed_per_min,precomp
avg_body_strikes_attempts_per_min,precomp
recent_avg_body_strikes_attempts_per_min,precomp
avg_leg_strikes_landed_per_min,precomp
recent_avg_leg_strikes_landed_per_min,precomp
avg_leg_strikes_attempts_per_min,precomp
recent_avg_leg_strikes_attempts_per_min,precomp
avg_distance_strikes_landed_per_min,precomp
recent_avg_distance_strikes_landed_per_min,precomp
avg_distance_strikes_attempts_per_min,precomp
recent_avg_distance_strikes_attempts_per_min,precomp
avg_clinch_strikes_landed_per_min,precomp
recent_avg_clinch_strikes_landed_per_min,precomp
avg_clinch_strikes_attempts_per_min,precomp
recent_avg_clinch_strikes_attempts_per_min,precomp
avg_ground_strikes_landed_per_min,precomp
recent_avg_ground_strikes_landed_per_min,precomp
avg_ground_strikes_attempts_per_min,precomp
recent_avg_ground_strikes_attempts_per_min,precomp
avg_reach_differential,precomp
recent_avg_reach_differential,precomp
avg_age_differential,precomp
recent_avg_age_differential,precomp
avg_height_differential,precomp
recent_avg_height_differential,precomp
avg_knockdowns_differential,precomp
recent_avg_knockdowns_differential,precomp
avg_days_since_last_comp_differential,precomp
recent_avg_days_since_last_comp_differential,precomp
avg_sub_attempts_differential,precomp
recent_avg_sub_attempts_differential,precomp
avg_sub_landed_differential,precomp
recent_avg_sub_landed_differential,precomp
avg_reversals_differential,precomp
recent_avg_reversals_differential,precomp
avg_control_differential,precomp
recent_avg_control_differential,precomp
avg_takedowns_landed_differential,precomp
recent_avg_takedowns_landed_differential,precomp
avg_takedowns_attempts_differential,precomp
recent_avg_takedowns_attempts_differential,precomp
avg_sig_strikes_landed_differential,precomp
recent_avg_sig_strikes_landed_differential,precomp
avg_sig_strikes_attempts_differential,precomp
recent_avg_sig_strikes_attempts_differential,precomp
avg_total_strikes_landed_differential,precomp
recent_avg_total_strikes_landed_differential,precomp
avg_total_strikes_attempts_differential,precomp
recent_avg_total_strikes_attempts_differential,precomp
avg_head_strikes_landed_differential,precomp
recent_avg_head_strikes_landed_differential,precomp
avg_head_strikes_attempts_differential,precomp
recent_avg_head_strikes_attempts_differential,precomp
avg_body_strikes_landed_differential,precomp
recent_avg_body_strikes_landed_differential,precomp
avg_body_strikes_attempts_differential,precomp
recent_avg_body_strikes_attempts_differential,precomp
avg_leg_strikes_landed_differential,precomp
recent_avg_leg_strikes_landed_differential,precomp
avg_leg_strikes_attempts_differential,precomp
recent_avg_leg_strikes_attempts_differential,precomp
avg_distance_strikes_landed_differential,precomp
recent_avg_distance_strikes_landed_differential,precomp
avg_distance_strikes_attempts_differential,precomp
recent_avg_distance_strikes_attempts_differential,precomp
avg_clinch_strikes_landed_differential,precomp
recent_avg_clinch_strikes_landed_differential,precomp
avg_clinch_strikes_attempts_differential,precomp
recent_avg_clinch_strikes_attempts_differential,precomp
avg_ground_strikes_landed_differential,precomp
recent_avg_ground_strikes_landed_differential,precomp
avg_ground_strikes_attempts_differential,precomp
recent_avg_ground_strikes_attempts_differential,precomp
avg_comp_time_differential,postcomp
recent_avg_comp_time_differential,postcomp
avg_title_fight_loss_differential,postcomp
recent_avg_title_fight_loss_differential,postcomp
avg_title_fight_losses_differential,postcomp
